Topology ID,Sub Info,ONT FSAN,RG FSAN,RG MAC,Topology Type,Endpoint Mapping Option,,,,IP Address Family,Last Operation Type,Operation Time,Unmanaged ,IP Update Time
SOAK-NG-T16,SmallWall SOAK-NG-T16,CXNK006B500A,CXNK006B500A,44:65:7F:E3:02:2C,Native,SmallWall SOAK-NG-T16,CXNK006B500A,"456 4th St, San Jose, California",,IPv4,,,FALSE,
SOAK-NG-T17,SmallWall SOAK-NG-T17,CXNK006B500C,CXNK006B500C,44:65:7F:E3:02:3E,Native,CXNK006B500C,408-242-6849,,,IPv4,,,FALSE,
SOAK-NG-T18,SmallWall SOAK-NG-T18,CXNK006B5018,CXNK006B5018,44:65:7F:E3:02:AA,Native,4088701888,44:65:7F:E3:02:AA,,,IPv4,,,FALSE,
SOAK-NG-T19,SmallWall SOAK-NG-T19,CXNK006B5019,CXNK006B5019,44:65:7F:E3:02:B3,Native,4088645957,44:65:7F:E3:02:B3,,,Dual Stack,,,FALSE,
SOAK-NG-T20,SmallWall SOAK-NG-T20,CXNK006B5020,CXNK006B5020,44:65:7F:E3:02:F2,Native,SmallWall SOAK-NG-T20,408-237-2365,,,IPv4,,,FALSE,
SOAK-NG-T21,SmallWall SOAK-NG-T21,CXNK006B5025,CXNK006B5025,44:65:7F:E3:03:1F,Native,CXNK006B5025,93101128-04,408-279-4125,"604 2nd St, San Jose, California",IPv4,,,FALSE,
SOAK-NG-T22,SmallWall SOAK-NG-T22,CXNK006B5027,CXNK006B5027,44:65:7F:E3:03:31,Native,CXNK006B5027,93101128-21,408-339-9234,"882 5th St, San Jose, California",Dual Stack,,,FALSE,
SOAK-NG-T23,SmallWall SOAK-NG-T23,CXNK006B502A,CXNK006B502A,44:65:7F:E3:03:4C,Native,408-538-9111,44:65:7f:e3:03:4c,,,Dual Stack,,,FALSE,
SOAK-NG-T24,SmallWall SOAK-NG-T24,CXNK006B502D,CXNK006B502D,44:65:7F:E3:03:67,Native,CXNK006B502D,93101128-18,SmallWall SOAK-NG-T24,"848 5th St, San Jose, California",Dual Stack,,,FALSE,
SOAK-NG-T25,SmallWall SOAK-NG-T25,CXNK006B502E,CXNK006B502E,44:65:7F:E3:03:70,Native,93101128-16,CXNK006B502E,,,Dual Stack,,,FALSE,
SOAK-NG-T26,SmallWall SOAK-NG-T26,CXNK006B5030,CXNK006B5030,44:65:7F:E3:03:82,Native,SmallWall SOAK-NG-T26,CXNK006B5030,"743 3rd St, San Jose, California",,Dual Stack,,,FALSE,
SOAK-NG-T27,SmallWall SOAK-NG-T27,CXNK006B5031,CXNK006B5031,44:65:7F:E3:03:8B,Native,CXNK006B5031,93101128-02,408-816-6443,"411 2nd St, San Jose, California",Dual Stack,,,FALSE,
SOAK-NG-T28,SmallWall SOAK-NG-T28,CXNK006B5034,CXNK006B5034,44:65:7F:E3:03:A6,Native,SmallWall SOAK-NG-T28,CXNK006B5034,"607 3rd St, San Jose, California",,IPv4,,,FALSE,
SOAK-NG-T29,SmallWall SOAK-NG-T29,CXNK006B5049,CXNK006B5049,44:65:7F:E3:04:63,Native,408-986-2176,44:65:7f:e3:04:63,,,IPv4,,,FALSE,
SOAK-NG-T30,SmallWall SOAK-NG-T30,CXNK006B504D,CXNK006B504D,44:65:7F:E3:04:87,Native,smallwallsoak-ng-t30,CXNK006B504D@soaktest.com,CXNK006B504D,,Dual Stack,,,FALSE,
SOAK-BG-NG-T31,SmallWall SOAK-BG-NG-T1,CXNK006BE32B,CXNK006BE32B,44:65:7F:E8:22:9D,Native,SmallWall SOAK-BG-NG-T1,408-710-6295,,,Dual Stack,,,FALSE,
SOAK-BG-NG-T32,SmallWall SOAK-BG-NG-T2,CXNK006BE32E,CXNK006BE32E,44:65:7F:E8:22:B8,Native,SmallWall SOAK-BG-NG-T2, CXNK006BE32E,,,Dual Stack,,,FALSE,
SOAK-BG-NG-T33,SmallWall SOAK-BG-NG-T3,CXNK006BE338,CXNK006BE338,44:65:7F:E8:23:12,Native,SmallWall SOAK-BG-NG-T3,408-680-9224,,,IPv4,,,FALSE,
SOAK-BG-NG-T34,SmallWall SOAK-BG-NG-T4,CXNK006BE346,CXNK006BE346,44:65:7F:E8:23:90,Native,CXNK006BE346,93101111-06,408-901-9216,"475 4th St, San Jose, California",IPv4,,,FALSE,
SOAK-BG-NG-T35,SmallWall SOAK-BG-NG-T5,CXNK006BE429,CXNK006BE429,44:65:7F:E8:2B:8B,Native,408-352-3782,44:65:7f:e8:2b:8b,,,IPv4,,,FALSE,
SOAK-BG-NG-T36,SmallWall SOAK-BG-NG-T6,CXNK006BE431,CXNK006BE431,44:65:7F:E8:2B:D3,Native,CXNK006BE431,408-743-8444,,,IPv4,,,FALSE,
SOAK-BG-NG-T37,SmallWall SOAK-BG-NG-T7,CXNK006BE457,CXNK006BE457,44:65:7F:E8:2D:29,Native,44657FE82D29,408-963-3041,,,Dual Stack,,,FALSE,
SOAK-BG-NG-T38,SmallWall SOAK-BG-NG-T8,CXNK006BE464,CXNK006BE464,44:65:7F:E8:2D:9E,Native,93101111-11,CXNK006BE464,,,IPv4,,,FALSE,
SOAK-BG-NG-T39,SmallWall SOAK-BG-NG-T9,CXNK006BE46A,CXNK006BE46A,44:65:7F:E8:2D:D4,Native,smallwallsoak-bg-ng-t9,CXNK006BE46A@soaktest.com,CXNK006BE46A,,Dual Stack,,,FALSE,
SOAK-BG-NG-T40,SmallWall SOAK-BG-NG-T10,CXNK006BE46B,CXNK006BE46B,44:65:7F:E8:2D:DD,Native,4082479866,44:65:7F:E8:2D:DD,,,IPv4,,,FALSE,
SOAK-BG-NG-T41,SmallWall SOAK-BG-NG-T11,CXNK006BE472,CXNK006BE472,44:65:7F:E8:2E:1C,Native,SmallWall SOAK-BG-NG-T11,CXNK006BE472,"769 3rd St, San Jose, California",,Dual Stack,,,FALSE,
SOAK-OR-T42,SmallWall SOAK-OR-T1,CXNK00301D5D,CXNK006A9565,44:65:7f:b8:54:3d,2Box,SmallWall SOAK-OR-T1,415-750-9974,,,IPv4,,,FALSE,
SOAK-OR-T43,SmallWall SOAK-OR-T2,CXNK00301D94,CXNK006A95FA,44:65:7f:b8:59:7a,2Box,415-808-9780,CXNK006A95FA,,,Dual Stack,,,FALSE,
SOAK-OR-T44,SmallWall SOAK-OR-T3,CXNK00301DA2,CXNK006A9575,44:65:7f:b8:54:cd,2Box,SmallWall SOAK-OR-T3,CXNK00301DA2,CXNK006A9575,,Dual Stack,,,FALSE,
SOAK-OR-T45,SmallWall SOAK-OR-T4,CXNK002BF0D7,CXNK006B8342,44:65:7f:e4:cf:24,2Box,smallwallsoak-or-t4,CXNK006B8342@soaktest.com,CXNK006B8342,,Dual stack,,,FALSE,
SOAK-OR-T46,SmallWall SOAK-OR-T5,CXNK002BF269,CXNK006A9562,44:65:7f:b8:54:22,2Box,415-697-3696,44:65:7F:B8:54:22,,,IPv4,,,FALSE,
SOAK-OR-T47,SmallWall SOAK-OR-T6,CXNK002BF0B0,CXNK006A9566,44:65:7f:b8:54:46,2Box,415-241-4896,CXNK006A9566,,,IPv4,,,FALSE,
SOAK-OR-T48,SmallWall SOAK-OR-T7,CXNK00301DC3,CXNK006B9C94,44:65:7f:e5:b3:06,2Box,44657FE5B306,415-943-1727,,,IPv4,,,FALSE,
SOAK-OR-T49,SmallWall SOAK-OR-T8,CXNK00301D7E,CXNK006A9567,44:65:7f:b8:54:4f,2Box,CXNK006A9567,93101114-08,SmallWall SOAK-OR-T8,"258 Mission St, San Francisco, California",IPv4,,,FALSE,
SOAK-OR-T50,SmallWall SOAK-OR-T9,CXNK00301DB7,CXNK006B9C91,44:65:7F:E5:B2:EB,2Box,415-755-9674,44:65:7F:E5:B2:EB,SmallWall SOAK-OR-T9,"273 Mission St, San Francisco, California",IPv4,,,TRUE,
SOAK-OR-T51,SmallWall SOAK-OR-T10,CXNK00301D3C,CXNK006A9606,44:65:7f:b8:59:e6,2Box,93101114-10,CXNK006A9606@soaktest.com,CXNK006A9606,"333 Folsom St, San Francisco, California",Dual Stack,,,TRUE,
